series,run_index,time_s,flow_rate_g_per_s
no_added_fines_yellow,3,7.88,1.3535
no_added_fines_yellow,4,7.88,0.8173
no_added_fines_yellow,5,7.88,0.2954
no_added_fines_yellow,0,7.93,3.3887
no_added_fines_yellow,1,7.93,3.2694
no_added_fines_yellow,2,7.93,3.0408
no_added_fines_yellow,3,7.93,1.4223
no_added_fines_yellow,4,7.93,1.3575
no_added_fines_yellow,5,7.93,0.8335
no_added_fines_yellow,6,7.93,0.2954
no_added_fines_yellow,0,7.98,3.328
no_added_fines_yellow,1,7.98,3.1237
no_added_fines_yellow,2,7.98,2.9578
no_added_fines_yellow,3,7.98,1.4223
no_added_fines_yellow,4,7.98,0.8821
no_added_fines_yellow,5,7.98,0.8355
no_added_fines_yellow,6,7.98,0.3257
no_added_fines_yellow,0,8.04,3.3564
no_added_fines_yellow,1,8.04,3.1824
no_added_fines_yellow,2,8.04,2.9012
no_added_fines_yellow,3,8.04,1.487
no_added_fines_yellow,4,8.04,0.8882
no_added_fines_yellow,5,8.04,0.3601
no_added_fines_yellow,0,8.09,3.3564
no_added_fines_yellow,1,8.09,3.2107
no_added_fines_yellow,2,8.09,2.8789
no_added_fines_yellow,3,8.09,1.487
no_added_fines_yellow,4,8.09,0.8922
no_added_fines_yellow,5,8.09,0.3601
no_added_fines_yellow,0,8.15,3.3341
no_added_fines_yellow,1,8.15,3.239
no_added_fines_yellow,2,8.15,2.8445
no_added_fines_yellow,3,8.15,0.8922
no_added_fines_yellow,0,8.2,3.3604
no_added_fines_yellow,1,8.2,3.2714
no_added_fines_yellow,2,8.2,2.8364
no_added_fines_yellow,0,8.26,3.3382
no_added_fines_yellow,1,8.26,3.2289
no_added_fines_yellow,2,8.26,2.8243
no_added_fines_yellow,3,8.26,0.9488
no_added_fines_yellow,4,8.26,0.4572
no_added_fines_yellow,5,8.26,0.0344
no_added_fines_yellow,0,8.31,3.328
no_added_fines_yellow,1,8.31,3.1986
no_added_fines_yellow,2,8.31,2.8324
no_added_fines_yellow,3,8.31,0.9509
no_added_fines_yellow,4,8.31,0.4572
no_added_fines_yellow,5,8.31,0.0364
no_added_fines_yellow,0,8.37,3.3159
no_added_fines_yellow,1,8.37,3.1743
no_added_fines_yellow,2,8.37,2.8566
no_added_fines_yellow,3,8.37,0.9306
no_added_fines_yellow,0,8.42,3.3078
