time_s,line_pressure_bar,mass_g
81.8500,9.1115,106.8014
81.9440,9.1423,106.9643
82.0370,9.1145,107.1397
82.1310,9.1167,107.3060
82.2240,9.1348,107.4737
82.3170,9.0898,107.6366
82.4100,9.1182,107.8077
82.5040,9.1055,107.9735
82.5970,9.1258,108.1489
82.6900,9.1415,108.3224
82.7840,9.1130,108.4814
82.8770,9.0980,108.6833
82.9710,9.0785,108.8673
83.0640,9.1130,109.0201
83.1570,9.1565,109.1898
83.2500,9.1520,109.3685
83.3430,9.1348,109.5214
83.4380,9.1002,109.7054
83.5310,9.1348,109.8722
83.6240,9.1467,110.0567
83.7170,9.1520,110.2100
83.8100,9.1460,110.3744
83.9030,9.1467,110.5815
83.9980,9.1677,110.7569
84.0910,9.1348,110.8910
84.1840,9.1017,111.0558
84.2770,9.0875,111.2442
84.3700,9.1310,111.4234
84.4640,9.1400,111.6036
84.5570,9.1385,111.7545
84.6510,9.0815,111.9242
84.7440,9.0695,112.1044
84.8370,9.1085,112.2884
84.9310,9.1077,112.4759
85.0240,9.1392,112.6397
85.1170,9.1235,112.8147
85.2100,9.1137,112.9982
85.3040,9.1340,113.1515
85.3970,9.1040,113.3135
85.4910,9.1258,113.4922
85.5840,9.1265,113.6643
85.6770,9.1340,113.8450
85.7700,9.1655,114.0012
