exp,rep,doe_role,target_flow_ml_s,scale_flow_ml_s,grind_level,target_temp_C,decent_temp_C,pressure_max_bar,component,brew_ratio,mass_in_cup,mass_units,conc_in_cup
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,TDS,1/1,3.04543,g,0.1522715
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,TDS,1/2,4.10286,g,0.1025715
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,TDS,1/3,4.47002,g,0.07450033333333334
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,trigonelline,1/1,77.27798,mg,3.863899
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,trigonelline,1/2,100.05978,mg,2.5014945
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,trigonelline,1/3,106.77593,mg,1.7795988333333335
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,caffeine,1/1,127.67903,mg,6.3839515
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,caffeine,1/2,180.31037,mg,4.50775925
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,caffeine,1/3,202.00585,mg,3.366764166666667
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,5-CQA,1/1,82.79003,mg,4.1395015
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,5-CQA,1/2,114.54389,mg,2.86359725
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,5-CQA,1/3,126.72298,mg,2.1120496666666666
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,TDS,1/1,2.96719,g,0.1483595
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,TDS,1/2,3.93525,g,0.09838125
6.0,1.0,DoE Axis Point,2.0,1.91529,1.7,98.0,96.54342,2.92,TDS,1/3,4.25108,g,0.07085133333333334
6.0,2.0,DoE Axis Point,2.0,1.90649,1.7,98.0,96.78679,3.15,trigonelline,1/1,80.05046,mg,4.002523
6.0,2.0,DoE Axis Point,2.0,1.90649,1.7,98.0,96.78679,3.15,trigonelline,1/2,102.97365,mg,2.5743412500000002
6.0,2.0,DoE Axis Point,2.0,1.90649,1.7,98.0,96.78679,3.15,trigonelline,1/3,109.53793,mg,1.8256321666666666
6.0,2.0,DoE Axis Point,2.0,1.90649,1.7,98.0,96.78679,3.15,caffeine,1/1,136.58576,mg,6.829288
6.0,2.0,DoE Axis Point,2.0,1.90649,1.7,98.0,96.78679,3.15,caffeine,1/2,193.45666,mg,4.8364165
6.0,2.0,DoE Axis Point,2.0,1.90649,1.7,98.0,96.78679,3.15,caffeine,1/3,217.13628,mg,3.618938
6.0,2.0,DoE Axis Point,2.0,1.90649,1.7,98.0,96.78679,3.15,5-CQA,1/1,88.88104,mg,4.444052
6.0,2.0,DoE Axis Point,2.0,1.90649,1.7,98.0,96.78679,3.15,5-CQA,1/2,123.0398,mg,3.075995
6.0,2.0,DoE Axis Point,2.0,1.90649,1.7,98.0,96.78679,3.15,5-CQA,1/3,136.16769,mg,2.2694615
